Set,Set name,Priority,Candidate ID,Acquisition tier,Provider,Asset,Identity / use,License,NOTICE if selected,Alpha ready,Maps / contents,Prep before measurement,Source URL,Provider ID,File hint,Fetch mode,License source,Creator / credit,Gain span,Albedo SD,Directional anisotropy,Chroma keep,Decision,Notes
9.5,Conifer sprig atlas,1,95-PH-PINE-TREE-01,A,Poly Haven,Pine Tree 01,pine sprig / twig,CC0,No,yes,Twig/Twigs diffuse + alpha; PBR companion maps,Fetch foliage diffuse + alpha; measure pristine maps before atlas packing,https://polyhaven.com/a/pine_tree_01,pine_tree_01,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-PH-FIR-TREE-01,A,Poly Haven,Fir Tree 01,fir sprig / twig,CC0,No,yes,Twig/Twigs diffuse + alpha; PBR companion maps,Fetch foliage diffuse + alpha; measure pristine maps before atlas packing,https://polyhaven.com/a/fir_tree_01,fir_tree_01,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-PH-FIR-SAPLING,A,Poly Haven,Fir Sapling,young fir sprig,CC0,No,yes,Twig/Twigs diffuse + alpha; PBR companion maps,Fetch foliage diffuse + alpha; measure pristine maps before atlas packing,https://polyhaven.com/a/fir_sapling,fir_sapling,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-PH-FIR-SAPLING-M,A,Poly Haven,Fir Sapling Medium,medium fir sprig,CC0,No,yes,Twig/Twigs diffuse + alpha; PBR companion maps,Fetch foliage diffuse + alpha; measure pristine maps before atlas packing,https://polyhaven.com/a/fir_sapling_medium,fir_sapling_medium,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-PH-PINE-SAPLING-S,A,Poly Haven,Pine Sapling Small,young pine sprig,CC0,No,yes,Twig/Twigs diffuse + alpha; PBR companion maps,Fetch foliage diffuse + alpha; measure pristine maps before atlas packing,https://polyhaven.com/a/pine_sapling_small,pine_sapling_small,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-PH-PINE-SAPLING-M,A,Poly Haven,Pine Sapling Medium,medium pine sprig,CC0,No,yes,Twig/Twigs diffuse + alpha; PBR companion maps,Fetch foliage diffuse + alpha; measure pristine maps before atlas packing,https://polyhaven.com/a/pine_sapling_medium,pine_sapling_medium,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-ACG-LEAFSET019,A,ambientCG,LeafSet019,needle / conifer atlas candidate,CC0,No,verify package,PBR leaf/needle atlas,Download 2K PNG package and inspect alpha/opacity treatment,https://ambientcg.com/view?id=LeafSet019,LeafSet019,,ambientcg_zip,https://ambientcg.com/index.php?e=about,ambientCG,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-OGA-BRANCH-PACK02,B,OpenGameArt,Branches textures pack 02,pine branch pack,CC0,No,archive—inspect,Transparent cutouts / texture archive,Extract only relevant foliage texture(s); ignore meshes; score each candidate independently,https://opengameart.org/content/branches-textures-pack-02,,pack26-30_0.7z,oga_page,https://opengameart.org/content/branches-textures-pack-02,,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-OGA-CONIFER-LIVE-2K,A,OpenGameArt,High-res tree textures — live conifers,live pine/conifer atlas,CC0,No,yes,Transparent cutouts / texture archive,Extract only relevant foliage texture(s); ignore meshes; score each candidate independently,https://opengameart.org/content/high-res-tree-textures,,trees_2K.zip,oga_page,https://opengameart.org/content/high-res-tree-textures,,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-OGA-CONIFER-DEAD-2K,A,OpenGameArt,High-res tree textures — dead conifers,dead/dry conifer variation,CC0,No,yes,Transparent cutouts / texture archive,Extract only relevant foliage texture(s); ignore meshes; score each candidate independently,https://opengameart.org/content/high-res-tree-textures,,trees_dead_2K.zip,oga_page,https://opengameart.org/content/high-res-tree-textures,,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-OGA-3TD-CONIFER,B,OpenGameArt,3TD Starter Pack #1 — Conifer,conifer texture extraction,CC0,No,archive—inspect,Transparent cutouts / texture archive,Extract only relevant foliage texture(s); ignore meshes; score each candidate independently,https://opengameart.org/content/3td-starter-pack-1,,3TD_Starter Pack.zip,oga_page,https://opengameart.org/content/3td-starter-pack-1,,,,,,unmeasured,
